"Account Type","Account Number","Transaction Date","Cheque Number","Description 1","Description 2","CAD$","USD$"
Chequing,04321-1234567,8/2/2026,,"IDP PURCHASE - 4321","LOBLAWS #1052 TORONTO ON",-186.42,
Chequing,04321-1234567,8/3/2026,,"INTERAC E-TRANSFER SENT","DEVON OKAFOR",-95.00,
Chequing,04321-1234567,8/4/2026,,"PAYROLL DEPOSIT","NORTHBRIDGE STUDIO",3120.55,
Chequing,04321-1234567,8/6/2026,,"PRE-AUTHORIZED DEBIT","TORONTO HYDRO ELECTRIC",-104.18,
Chequing,04321-1234567,8/9/2026,,"IDP PURCHASE - 4321","SQ *BLUE DOOR COFFEE TORONTO ON",-18.75,
Chequing,04321-1234567,8/11/2026,,"MISC PAYMENT","SCOTIABANK VISA PAYMENT",-1240.00,
Chequing,04321-1234567,8/14/2026,,"INTERAC E-TRANSFER RECEIVED","SARAH MCKENNA",112.50,
Chequing,04321-1234567,8/17/2026,,"IDP PURCHASE - 4321","BROOKLYN BAGEL BROOKLYN NY",,-14.20
Chequing,04321-1234567,8/18/2026,,"PRE-AUTHORIZED DEBIT","ROGERS COMMUNICATIONS",-92.10,
Chequing,04321-1234567,8/22/2026,,"IDP PURCHASE - 4321","LCBO/RAO #0217 TORONTO ON",-64.30,
Chequing,04321-1234567,8/24/2026,,"ABM WITHDRAWAL","BRANCH 04321",-100.00,
Chequing,04321-1234567,8/27/2026,,"MONTHLY ACCOUNT FEE","",-16.95,
